,Brand,Model,Variant,Year_of_Manufacturing,Transmission Type,Fuel Type,Kilometers Driven,No of Owners,Price,Location
554,Hyundai,i20,,2014,Manual,Petrol,"34,000 km",1st,"4,60,000",Mumbai
555,Toyota,Fortuner,,2015,Manual,Diesel,"119,000 km",1st,"17,00,000",Mumbai
556,Toyota,Innova,,2008,Manual,Diesel,"239,400 km",1st,"4,50,000",Mumbai
557,Toyota,Fortuner,,2009,Manual,Diesel,"145,000 km",3rd,"9,25,000",Mumbai
558,Hyundai,i20,,2014,Manual,Petrol,"61,000 km",1st,"4,75,000",Mumbai
559,Maruti Suzuki,Swift Dzire,,2010,Manual,Diesel,"90,000 km",2nd,"3,13,013",Mumbai
560,-,-,,-,-,-,-,-,-,Mumbai
561,-,-,,-,-,-,-,-,-,Mumbai
562,Renault,Scala,,2013,Manual,Diesel,"66,000 km",1st,"3,25,000",Mumbai
563,Audi,Q5,,2014,Automatic,Diesel,"147,000 km",1st,"13,99,000",Mumbai
564,Toyota,Etios,,2014,Manual,Diesel,"67,000 km",1st,"5,22,000",Mumbai
565,Maruti Suzuki,Eeco,,2015,Manual,CNG & Hybrids,"68,000 km",1st,"3,85,000",Mumbai
566,Maruti Suzuki,Baleno,,2018,Manual,Petrol,"27,000 km",1st,"6,90,000",Mumbai
567,Toyota,Innova Crysta,,2017,Automatic,Diesel,"92,000 km",1st,"20,90,000",Mumbai
568,Honda,City,,2012,Automatic,Petrol,"47,000 km",1st,"5,15,000",Mumbai
569,Volkswagen,Polo,,2015,Manual,Petrol,"22,000 km",1st,"4,88,000",Mumbai
570,Toyota,Corolla Altis,,2010,Manual,Petrol,"82,053 km",2nd,"3,50,000",Mumbai
571,Maruti Suzuki,Swift Dzire,,2017,Manual,Petrol,"17,300 km",1st,"6,26,000",Mumbai
572,Skoda,Rapid,,2015,Automatic,Diesel,"48,000 km",1st,"6,49,013",Mumbai
573,Toyota,Innova,,2016,Manual,Diesel,"119,000 km",1st,"11,74,999",Mumbai
574,Maruti Suzuki,Swift Dzire,,2016,Manual,Petrol,"32,000 km",1st,"5,75,000",Mumbai
575,Hyundai,i20,,2010,Manual,Petrol,"61,000 km",2nd,"2,80,000",Mumbai
576,Volkswagen,Polo,,2015,Manual,Petrol,"24,000 km",1st,"4,85,000",Mumbai
577,Maruti Suzuki,Swift Dzire,,2014,Manual,Petrol,"57,000 km",1st,"4,99,000",Mumbai
578,Volkswagen,Vento,,2013,Manual,Diesel,"63,000 km",2nd,"4,25,000",Mumbai
579,Maruti Suzuki,Swift,,2013,Manual,Diesel,"125,000 km",1st,"5,35,000",Mumbai
580,Mercedes-Benz,E-Class,,2015,Automatic,Diesel,"70,000 km",1st,"20,50,000",Mumbai
581,Maruti Suzuki,Swift Dzire,,2016,Automatic,Diesel,"75,000 km",2nd,"6,25,000",Mumbai
582,Audi,A6,,2014,Automatic,Diesel,"75,000 km",1st,"16,75,000",Mumbai
583,Hyundai,i20,,2012,Manual,Diesel,"55,896 km",2nd,"3,50,000",Mumbai
584,Tata,Nexon,,2017,Manual,Petrol,"26,000 km",1st,"7,75,000",Mumbai
585,-,-,,-,-,-,-,-,-,Mumbai
586,Hyundai,Xcent,,2017,Manual,Diesel,"200,000 km",1st,"2,05,000",Mumbai
587,Maruti Suzuki,Ritz,,2010,Manual,Petrol,"75,000 km",1st,"2,00,000",Mumbai
588,-,-,,-,-,-,-,-,-,Mumbai
589,Maruti Suzuki,800,,2002,Manual,Petrol,"65,000 km",2nd,"36,000",Mumbai
590,Hyundai,Venue,,2019,Manual,Petrol,"23,916 km",1st,"8,75,000",Mumbai
591,Mahindra,Scorpio,,2015,Manual,Diesel,"52,123 km",1st,"7,75,000",Mumbai
592,Maruti Suzuki,Alto 800,,2013,Manual,CNG & Hybrids,"51,000 km",1st,"2,90,000",Mumbai
593,Maruti Suzuki,Wagon R,,2021,Manual,CNG & Hybrids,123 km,1st,"15,000",Mumbai
594,Chevrolet,Enjoy,,2014,Manual,Diesel,"70,123 km",1st,"3,25,000",Mumbai
595,Land Rover,Range Rover Evoque,,2013,Automatic,Diesel,"60,000 km",1st,"22,75,000",Mumbai
596,Toyota,Corolla Altis,,2014,Automatic,Petrol,"85,000 km",1st,"8,40,000",Mumbai
597,Ford,Fiesta,,2007,Manual,Petrol,"65,300 km",1st,"1,50,000",Mumbai
598,Maruti Suzuki,Baleno,,2017,Manual,Petrol,"39,000 km",1st,"5,69,999",Mumbai
599,Mercedes-Benz,New C-Class,,2011,Automatic,Diesel,"56,000 km",2nd,"7,20,001",Mumbai
600,Mercedes-Benz,E-Class,,2012,Automatic,Petrol,"65,000 km",2nd,"11,25,000",Mumbai
601,-,-,,-,-,-,-,-,-,Mumbai
602,Toyota,Innova Crysta,,2018,Manual,Diesel,"13,000 km",1st,"18,00,000",Mumbai
603,Hyundai,Getz Prime,,2008,Manual,CNG & Hybrids,"99,000 km",2nd,"1,11,000",Mumbai
604,Toyota,Innova,,2008,Manual,Diesel,"150,000 km",1st,"4,75,000",Mumbai
605,Mahindra,Scorpio,,2008,Manual,Diesel,"58,000 km",2nd,"3,55,000",Mumbai
606,Maruti Suzuki,Wagon R 1.0,,2011,Manual,Petrol,"20,000 km",1st,"2,55,000",Mumbai
607,Tata,Indica Vista,,2014,Manual,Petrol,"37,000 km",1st,"2,49,000",Mumbai
608,Maruti Suzuki,Swift Dzire,,2017,Automatic,Petrol,"55,000 km",1st,"6,60,000",Mumbai
609,Jeep,Compass,,2017,Manual,Diesel,"21,600 km",1st,"14,25,000",Mumbai
