,Brand,Model,Variant,Year_of_Manufacturing,Transmission Type,Fuel Type,Kilometers Driven,No of Owners,Price,Location
877,Tata,Zest,,2020,Manual,Diesel,"49,000 km",1st,"1,30,000",Chennai
878,Toyota,Qualis,,2004,Manual,Diesel,"200,000 km",2nd,"2,99,999",Chennai
879,Maruti Suzuki,Zen,,1998,Manual,Petrol,"80,586 km",2nd,"65,000",Chennai
880,Volvo,V40,,2018,Automatic,Diesel,"59,000 km",1st,"19,50,000",Chennai
881,Mahindra,Marazzo,,2019,Manual,Diesel,"49,050 km",1st,"13,35,001",Chennai
882,Honda,City ZX,,2017,Automatic,Petrol,"25,000 km",1st,"11,75,000",Chennai
883,Mahindra,Xylo,,2018,Manual,Diesel,"93,500 km",1st,"6,90,000",Chennai
884,Ford,Figo,,2015,Automatic,Diesel,"99,000 km",2nd,"3,25,000",Chennai
885,Maruti Suzuki,Swift Dzire,,2011,Manual,Petrol,"46,050 km",1st,"3,95,000",Chennai
886,Maruti Suzuki,Others,,2010,Manual,Diesel,"66,000 km",1st,"5,00,000",Chennai
887,Bajaj,Others,,2014,Automatic,LPG,"55,000 km",1st,"1,95,000",Chennai
888,Mahindra,Xylo,,2011,Manual,Diesel,"94,000 km",1st,"5,80,000",Chennai
889,Mahindra,XUV500,,2016,Manual,Diesel,"96,000 km",1st,"11,85,000",Chennai
890,Hyundai,i20,,2012,Manual,Diesel,"85,000 km",1st,"3,50,000",Chennai
891,Ford,Ecosport,,2013,Manual,Diesel,"85,000 km",2nd,"5,00,000",Chennai
892,Maruti Suzuki,Ciaz,,2017,Manual,Diesel,"35,000 km",1st,"7,75,000",Chennai
893,Maruti Suzuki,Swift Dzire,,2015,Manual,Petrol,"41,000 km",1st,"5,75,000",Chennai
894,Volkswagen,Polo,,2016,Manual,Petrol,"44,000 km",1st,"5,65,000",Chennai
895,Hyundai,Grand i10,,2014,Automatic,Petrol,"40,169 km",1st,"4,50,000",Chennai
896,Mahindra,Scorpio,,2010,Manual,Diesel,"119,000 km",2nd,"4,75,000",Chennai
897,Toyota,Etios,,2016,Manual,Diesel,"154,000 km",1st,"5,95,000",Chennai
898,Maruti Suzuki,Ritz,,2016,Manual,Diesel,"110,000 km",1st,"3,10,000",Chennai
899,Ford,Figo,,2011,Manual,Petrol,"7,600 km",1st,"3,00,000",Chennai
