,Brand,Model,Variant,Year_of_Manufacturing,Transmission Type,Fuel Type,Kilometers Driven,No of Owners,Price,Location
1760,Maruti Suzuki,Alto 800,,2017,Manual,Petrol,"16,852 km",1st,"3,35,000",kerala
1761,Jaguar,XF,,2015,Automatic,Diesel,"53,000 km",2nd,"28,00,000",kerala
1762,Maruti Suzuki,Alto 800,,2014,Manual,Petrol,"41,000 km",2nd,"2,40,000",kerala
1763,Maruti Suzuki,A-Star,,2009,Manual,Petrol,"95,000 km",2nd,"1,52,000",kerala
1764,Maruti Suzuki,Alto,,2005,Manual,Petrol,"90,000 km",3rd,"90,000",kerala
1765,Maruti Suzuki,Swift Dzire,,2017,Manual,Petrol,"86,000 km",1st,"5,85,000",kerala
1766,Maruti Suzuki,800,,2003,Manual,Petrol,1 km,3rd,"65,000",kerala
1767,Ford,Figo,,2016,Manual,Diesel,"29,000 km",1st,"5,10,000",kerala
1768,Maruti Suzuki,Wagon R,,2007,Manual,Petrol,"75,109 km",2nd,"1,35,000",kerala
1769,Maruti Suzuki,Swift Dzire Tour,,2016,-,-,"100,000 km",1st,"3,60,000",kerala
1770,Jeep,Compass,,2019,Manual,Petrol,"23,000 km",1st,"18,00,000",kerala
1771,Hyundai,Xcent,,2014,Manual,Diesel,"114,000 km",1st,"3,60,000",kerala
1772,Maruti Suzuki,Omni,,2000,Manual,Petrol,85 km,4th,"62,000",kerala
1773,Hyundai,Accent,,2006,Manual,Petrol,"91,000 km",1st,"1,00,000",kerala
1774,Mahindra,Bolero Power Plus,,2015,Manual,Diesel,"73,254 km",2nd,"6,77,000",kerala
1775,Mahindra,Scorpio,,2009,Manual,Diesel,"110,000 km",1st,"4,00,000",kerala
1776,Maruti Suzuki,Alto,,2001,Manual,Petrol,"87,000 km",1st,"70,000",kerala
1777,Volkswagen,Polo,,2015,Manual,Diesel,"89,468 km",2nd,"6,30,000",kerala
1778,Mahindra,XUV500,,2018,Automatic,Diesel,"81,000 km",1st,"16,50,000",kerala
1779,Maruti Suzuki,Alto,,2002,Manual,Petrol,"160,000 km",3rd,"75,000",kerala
1780,Ambassador,Ambassador,,2007,Manual,Diesel,"80,000 km",1st,"75,000",kerala
1781,Hyundai,i20,,2020,Manual,Petrol,"3,500 km",1st,"7,85,000",kerala
1782,Chevrolet,Beat,,2013,Manual,Diesel,"85,895 km",3rd,"1,38,000",kerala
