,Brand,Model,Variant,Year_of_Manufacturing,Transmission Type,Fuel Type,Kilometers Driven,No of Owners,Price,Location
64,Hyundai,i20,,2012,Manual,Petrol,"55,000 km",1st,"3,25,000",Delhi
65,Hyundai,i20,,2010,Manual,Petrol,"66,000 km",1st,"2,81,000",Delhi
66,Audi,Q7,,2014,Automatic,Diesel,"86,000 km",1st,"28,00,000",Delhi
67,Maruti Suzuki,Swift,,2016,-,Diesel,"91,000 km",1st,"5,00,000",Delhi
68,Maruti Suzuki,Swift Dzire,,2014,Manual,Petrol,"61,900 km",2nd,"3,85,000",Delhi
69,Datsun,RediGO,,2017,Manual,Petrol,"32,000 km",1st,"2,65,000",Delhi
70,Maruti Suzuki,Swift,,2016,-,Diesel,"65,000 km",1st,"4,80,000",Delhi
71,Mahindra,Scorpio,,2011,Manual,Diesel,"86,000 km",3rd,"3,25,000",Delhi
72,Maruti Suzuki,Ertiga,,2014,Manual,CNG & Hybrids,"85,500 km",2nd,"5,21,000",Delhi
73,Maruti Suzuki,Wagon R,,2016,Manual,CNG & Hybrids,"55,000 km",2nd,"3,29,000",Delhi
74,Renault,KWID,,2016,Manual,Petrol,"50,000 km",1st,"2,90,000",Delhi
75,Hyundai,Santro Xing,,2012,Manual,CNG & Hybrids,"65,000 km",1st,"1,95,000",Delhi
76,Maruti Suzuki,Swift,,2010,Manual,Petrol,"67,800 km",2nd,"2,20,000",Delhi
77,Renault,Triber,,2019,Manual,Petrol,"5,500 km",1st,"6,50,000",Delhi
78,Hyundai,Creta,,2017,Automatic,Petrol,"59,000 km",2nd,"10,00,000",Delhi
79,Toyota,Fortuner,,2017,Automatic,Diesel,"53,000 km",1st,"25,25,000",Delhi
80,Honda,City,,2009,Manual,CNG & Hybrids,"71,000 km",-,"2,50,000",Delhi
81,Hyundai,i20,,2018,Manual,Petrol,"30,000 km",1st,"6,89,999",Delhi
82,Mahindra,XUV500,,2012,Manual,Diesel,"75,000 km",2nd,"4,75,000",Delhi
83,Hyundai,Elite i20,,2014,Manual,Diesel,"49,000 km",1st,"4,50,000",Delhi
84,Honda,City,,2016,Manual,Petrol,"26,000 km",1st,"6,75,000",Delhi
85,Maruti Suzuki,Swift,,2016,Manual,Diesel,"91,000 km",1st,"5,00,000",Delhi
86,Mahindra,XUV500,,2012,Manual,Diesel,"62,000 km",1st,"5,00,000",Delhi
87,Renault,Duster,,2013,Manual,Diesel,"76,000 km",1st,"3,65,000",Delhi
88,Maruti Suzuki,Swift,,2016,-,-,"74,000 km",1st,"5,40,000",Delhi
89,Nissan,Micra,,2013,Manual,Petrol,"49,000 km",1st,"3,60,000",Delhi
90,Hyundai,Elantra,,2014,Automatic,Diesel,"61,000 km",3rd,"5,50,000",Delhi
91,Maruti Suzuki,Wagon R,,2014,Manual,Petrol,"65,000 km",1st,"2,30,000",Delhi
92,Maruti Suzuki,Swift Dzire,,2011,Manual,Diesel,"56,599 km",1st,"2,50,000",Delhi
93,Audi,A3,,2016,Automatic,Diesel,"50,000 km",1st,"16,00,000",Delhi
94,Hyundai,i10,,2013,Manual,Petrol,"58,000 km",1st,"2,75,000",Delhi
95,Honda,City,,2013,Manual,Petrol,"58,000 km",1st,"4,50,000",Delhi
96,Honda,City,,2010,-,CNG & Hybrids,"80,000 km",3rd,"2,60,000",Delhi
97,Hyundai,Creta,,2015,Manual,Diesel,"72,000 km",1st,"8,25,000",Delhi
98,Nissan,Terrano,,2015,Manual,Diesel,"52,000 km",1st,"5,50,000",Delhi
99,Hyundai,Creta,,2019,Manual,Diesel,"55,200 km",1st,"9,85,000",Delhi
100,-,-,,-,-,-,-,-,-,Delhi
101,-,-,,-,-,-,-,-,-,Delhi
102,BMW,7 Series,,2013,Automatic,Diesel,"58,000 km",1st,"23,95,000",Delhi
103,Hyundai,i10,,2014,Manual,Petrol,"58,000 km",1st,"3,15,000",Delhi
104,Maruti Suzuki,Baleno,,2019,Manual,Petrol,"2,000 km",1st,"7,10,000",Delhi
105,Mini,Cooper,,2013,Automatic,Petrol,"44,000 km",1st,"15,49,999",Delhi
106,Honda,Civic,,2008,Automatic,CNG & Hybrids,"70,000 km",2nd,"1,99,999",Delhi
107,Hyundai,New Elantra,,2013,Manual,Petrol,"58,000 km",2nd,"5,50,000",Delhi
108,Toyota,Innova Crysta,,2018,Manual,Diesel,"41,000 km",1st,"14,95,000",Delhi
109,Hyundai,Creta,,2021,Manual,Petrol,700 km,1st,"12,65,000",Delhi
110,Toyota,Innova Crysta,,2018,Manual,Diesel,"55,000 km",1st,"18,15,000",Delhi
111,Toyota,Innova,,2015,Manual,Diesel,"60,000 km",1st,"7,50,000",Delhi
112,Mahindra,TUV 300,,2017,Manual,Diesel,"80,000 km",1st,"5,75,000",Delhi
113,Toyota,Etios,,2016,Manual,Petrol,"43,000 km",1st,"4,85,000",Delhi
114,Mahindra,Thar,,2018,Manual,Diesel,"10,000 km",1st,"8,75,000",Delhi
115,Maruti Suzuki,Wagon R,,2011,Manual,CNG & Hybrids,"55,000 km",1st,"1,95,000",Delhi
116,Maruti Suzuki,Alto 800,,2015,Manual,Petrol,"32,000 km",2nd,"2,35,000",Delhi
117,Hyundai,Elite i20,,2019,Manual,Petrol,"17,000 km",1st,"5,95,000",Delhi
118,Ford,Ecosport,,2017,Manual,Petrol,"12,000 km",1st,"7,25,000",Delhi
119,Mahindra,Quanto,,2012,Manual,Diesel,"70,000 km",1st,"2,75,000",Delhi
120,Hyundai,Elite i20,,2017,Manual,Petrol,"47,106 km",-,"5,35,000",Delhi
121,-,-,,-,-,-,-,-,-,Delhi
122,Maruti Suzuki,Swift,,2016,Manual,Petrol,"55,000 km",2nd,"4,25,000",Delhi
123,Datsun,Redi Go,,2018,Manual,Petrol,"21,000 km",1st,"2,51,000",Delhi
124,Hyundai,Creta,,2018,Automatic,Petrol,"55,000 km",1st,"12,50,000",Delhi
125,Hyundai,Elite i20,,2017,Manual,CNG & Hybrids,"37,000 km",1st,"5,35,000",Delhi
126,BMW,X1,,2013,Automatic,Petrol,"29,873 km",1st,"8,49,000",Delhi
127,Ford,Figo Aspire,,2015,Manual,Diesel,"74,000 km",1st,"3,50,000",Delhi
128,Maruti Suzuki,Swift,,2015,Manual,Diesel,"58,000 km",1st,"4,25,000",Delhi
129,Mahindra,Scorpio,,2012,Manual,Diesel,"65,000 km",2nd,"4,90,000",Delhi
130,Hyundai,Fluidic Verna,,2011,Manual,CNG & Hybrids,"28,000 km",2nd,"4,30,000",Delhi
131,Hyundai,i20,,2010,Manual,Petrol,"82,000 km",2nd,"2,60,000",Delhi
132,Toyota,Corolla Altis,,2017,Automatic,Petrol,"50,000 km",1st,"13,75,000",Delhi
133,Maruti Suzuki,SX4,,2008,-,Petrol,"62,000 km",-,"1,60,000",Delhi
134,Mercedes-Benz,GL-Class,,2016,Automatic,Diesel,"38,000 km",1st,"46,50,000",Delhi
135,Mahindra,XUV500,,2012,Manual,Diesel,"75,000 km",2nd,"4,75,000",Delhi
136,Maruti Suzuki,Ignis,,2019,Manual,Petrol,"19,000 km",1st,"5,21,000",Delhi
137,Honda,Amaze,,2013,Manual,Diesel,"58,000 km",1st,"3,10,000",Delhi
138,-,-,,-,-,-,-,-,-,Delhi
139,Chevrolet,Beat,,2012,Manual,Diesel,"140,000 km",1st,"1,50,000",Delhi
140,Maruti Suzuki,Celerio,,2015,Manual,CNG & Hybrids,"49,000 km",2nd,"3,50,000",Delhi
141,Jaguar,XE,,2013,Automatic,Diesel,"30,000 km",3rd,"16,00,000",Delhi
142,Maruti Suzuki,Baleno,,2018,Manual,Petrol,"7,600 km",1st,"5,99,000",Delhi
143,-,-,,-,-,-,-,-,-,Delhi
144,Volkswagen,Vento,,2010,Manual,Petrol,"74,000 km",1st,"2,50,000",Delhi
145,Maruti Suzuki,Eeco,,2016,Manual,CNG & Hybrids,"55,000 km",1st,"2,60,000",Delhi
146,Hyundai,Elite i20,,2015,Manual,Petrol,"58,000 km",1st,"5,45,000",Delhi
147,Renault,Duster,,2013,Manual,Diesel,"63,000 km",1st,"3,75,000",Delhi
148,Toyota,Etios,,2013,Manual,Diesel,"54,000 km",1st,"3,55,000",Delhi
149,Maruti Suzuki,Swift Dzire,,2014,Manual,Diesel,"81,000 km",1st,"3,90,000",Delhi
150,Datsun,Redi Go,,2016,Manual,CNG & Hybrids,"64,000 km",2nd,"2,20,000",Delhi
151,Hyundai,i20,,2010,Manual,Petrol,"54,000 km",2nd,"2,40,000",Delhi
152,Honda,City,,2018,Manual,Petrol,"40,000 km",1st,"9,00,000",Delhi
153,Maruti Suzuki,Ciaz,,2018,Automatic,Petrol,"34,000 km",1st,"9,10,000",Delhi
154,Mahindra,XUV500,,2012,Manual,Diesel,"86,000 km",2nd,"4,50,000",Delhi
155,Hyundai,i20,,2010,Manual,Petrol,"71,000 km",1st,"2,20,000",Delhi
156,Honda,City,,2013,Manual,Petrol,"65,000 km",1st,"5,00,000",Delhi
157,Maruti Suzuki,Baleno RS,,2016,Manual,Petrol,200 km,1st,"7,25,000",Delhi
158,Honda,Civic,,2010,Manual,Petrol,"65,000 km",1st,"4,50,000",Delhi
159,Maruti Suzuki,Ciaz,,2015,Manual,Petrol,"59,000 km",1st,"5,70,000",Delhi
160,Maruti Suzuki,Swift Dzire,,2012,Manual,Petrol,"67,000 km",1st,"3,35,000",Delhi
161,Hyundai,i10,,2009,Manual,Petrol,"25,000 km",1st,"1,75,000",Delhi
162,Nissan,Others,,2011,Manual,CNG & Hybrids,"72,300 km",1st,"1,95,000",Delhi
163,Maruti Suzuki,Swift Dzire,,2010,Manual,Petrol,"55,000 km",1st,"2,25,000",Delhi
164,Hyundai,EON,,2014,Manual,Petrol,"60,000 km",1st,"2,35,000",Delhi
165,Maruti Suzuki,Swift Dzire,,2011,Manual,Petrol,"53,000 km",2nd,"2,45,000",Delhi
166,Renault,Duster,,2016,Manual,Diesel,"57,000 km",1st,"6,15,000",Delhi
167,Hyundai,Xcent,,2017,Manual,Diesel,"47,000 km",1st,"4,50,000",Delhi
168,Hyundai,Santro Xing,,2013,Manual,CNG & Hybrids,"82,000 km",2nd,"2,45,000",Delhi
169,Maruti Suzuki,Ciaz,,2016,Manual,Petrol,"45,000 km",1st,"6,65,000",Delhi
